FID;field_1;field_2;x;y
0;304353,481211295002140;4601075,599678169935942;304353,0000000;4601080,0000000
1;308690,386305320018437;4607448,213304350152612;308690,0000000;4607450,0000000
2;290001,652683604974300;4600369,038460819981992;290002,0000000;4600370,0000000
3;307375,429099222004879;4608135,726117310114205;307375,0000000;4608140,0000000
4;301578,697681545978412;4612650,886202299967408;301579,0000000;4612650,0000000
5;313068,703004590002820;4623176,096078990027308;313069,0000000;4623180,0000000
6;310270,753741682972759;4606601,471674660220742;310271,0000000;4606600,0000000
7;315255,235213163017761;4625808,801264240406454;315255,0000000;4625810,0000000
8;309081,388858427992091;4617968,179060599766672;309081,0000000;4617970,0000000
9;309218,588481239974499;4618238,140070050023496;309219,0000000;4618240,0000000
10;311040,004134858027101;4621312,958688010461628;311040,0000000;4621310,0000000
11;305957,344449787982740;4613670,806272109970450;305957,0000000;4613670,0000000
12;308363,593036465987097;4617290,928883690387011;308364,0000000;4617290,0000000
13;288198,207238104019780;4601613,459262290038168;288198,0000000;4601610,0000000
14;309164,679611506988294;4615658,348233370110393;309165,0000000;4615660,0000000
15;313418,919958218000829;4610963,928416980430484;313419,0000000;4610960,0000000
16;292595,739339828025550;4601852,502513820305467;292596,0000000;4601850,0000000
17;285861,558474401012063;4609583,843228739686310;285862,0000000;4609580,0000000
18;289752,511224264977500;4599657,050738110207021;289752,0000000;4599660,0000000
19;306573,681314584973734;4616585,249367600306869;306574,0000000;4616580,0000000
20;314914,095614679972641;4604164,965873230248690;314914,0000000;4604160,0000000
21;302124,752275730017573;4602159,359355550259352;302125,0000000;4602160,0000000
22;307695,314458284003194;4617075,897616250440478;307695,0000000;4617080,0000000
23;279416,876804205996450;4590154,105632389895618;279417,0000000;4590150,0000000
24;293408,030149040976539;4607493,687192689627409;293408,0000000;4607490,0000000
25;315462,117705328972079;4622595,892972479574382;315462,0000000;4622600,0000000
26;292493,080728520988487;4606100,421616979874671;292493,0000000;4606100,0000000
27;300431,422248986025807;4595799,342156830243766;300431,0000000;4595800,0000000
28;302335,363824802974705;4600111,139220359735191;302335,0000000;4600110,0000000
29;289059,951188402017578;4597892,460971689783037;289060,0000000;4597890,0000000
30;302294,205162824015133;4591792,379727929830551;302294,0000000;4591790,0000000
31;288986,882527236011811;4597715,823188520036638;288987,0000000;4597720,0000000
32;297410,144511732971296;4606574,414141779765487;297410,0000000;4606570,0000000
33;315814,832546085992362;4623070,349448259919882;315815,0000000;4623070,0000000
34;304249,429893277992960;4601077,291158219799399;304249,0000000;4601080,0000000
35;282041,490479952015448;4592101,981668399646878;282042,0000000;4592100,0000000
36;310980,239462046010885;4606200,691354679875076;310980,0000000;4606200,0000000
37;289503,052142252970953;4598782,800768380053341;289503,0000000;4598780,0000000
38;288040,439077035000082;4599616,589555590413511;288040,0000000;4599620,0000000
39;309184,112584538001101;4618149,365162289701402;309184,0000000;4618150,0000000
40;315665,586697958991863;4626076,134542539715767;315666,0000000;4626080,0000000
41;306650,283576231973711;4616656,721752439625561;306650,0000000;4616660,0000000
42;314959,858746181998868;4625428,475358909927309;314960,0000000;4625430,0000000
43;306242,606711553002242;4616206,260712949559093;306243,0000000;4616210,0000000
44;305450,688053179997951;4610022,702523619867861;305451,0000000;4610020,0000000
45;303724,482789279019926;4621878,457534570246935;303724,0000000;4621880,0000000
46;297006,449486533994786;4606255,230408919975162;297006,0000000;4606260,0000000
47;298050,320049996022135;4591164,050319209694862;298050,0000000;4591160,0000000
48;304772,853533321991563;4613659,033680220134556;304773,0000000;4613660,0000000
49;289010,083767811011057;4597806,693838959559798;289010,0000000;4597810,0000000
