FID;ID;CODIVIA;TITULAR;TIPUSVIA;IMD2015;CARRETERA;long;xi;yi;zi;xf;yf;zf;xi_l;yi_l;xf_l;yf_l;FID_1;FID_;Id_1;x;y;id_2;x2;y2;x3;y3;FID_12;FID_12_13;Id_12;x_1;y_1;id_23;x2_1;y2_1;x3_1;y3_1
0;881;C-230a;DipLleida;Tronc;615,000000000000000; ;907,0449829;301947,0000000;4606060,0000000;15257,0000000;301512,0000000;4606020,0000000;15310,5000000;301947;4606059;301512;4606024;529;535;535;301947,0000000;4606060,0000000;538;0;0;301947;4606060;546;552;552;301512,0000000;4606020,0000000;555;0;0;301512;4606020
1;881;C-230a;DipLleida;Tronc;615,000000000000000; ;907,0449829;301512,0000000;4606020,0000000;15310,5000000;301136,0000000;4605760,0000000;14663,5000000;301512;4606024;301136;4605765;546;552;552;301512,0000000;4606020,0000000;555;0;0;301512;4606020;544;550;550;301136,0000000;4605760,0000000;553;0;0;301136;4605760
2;883;A-2; ; ;20061,000000000000000;A-2;2438,8898926;288537,0000000;4601720,0000000;0,0000000;288554,0000000;4601730,0000000;0,0000000;288537;4601724;288555;4601733;99;99;99;288537,0000000;4601720,0000000;100;0;0;288537;4601720;98;98;98;288554,0000000;4601730,0000000;99;0;0;288554;4601730
3;883;A-2; ; ;20061,000000000000000;A-2;2438,8898926;289355,0000000;4602180,0000000;0,0000000;289768,0000000;4602390,0000000;0,0000000;289355;4602178;289768;4602390;100;101;101;289355,0000000;4602180,0000000;102;0;0;289355;4602180;101;102;102;289768,0000000;4602390,0000000;103;0;0;289768;4602390
4;883;A-2; ; ;20061,000000000000000;A-2;2438,8898926;289768,0000000;4602390,0000000;0,0000000;290192,0000000;4602560,0000000;0,0000000;289768;4602390;290192;4602561;101;102;102;289768,0000000;4602390,0000000;103;0;0;289768;4602390;102;103;103;290192,0000000;4602560,0000000;104;0;0;290192;4602560
5;883;A-2; ; ;20061,000000000000000;A-2;2438,8898926;290532,0000000;4602770,0000000;0,0000000;290583,0000000;4602820,0000000;0,0000000;290532;4602767;290583;4602825;191;192;192;290532,0000000;4602770,0000000;193;0;0;290532;4602770;103;104;104;290583,0000000;4602820,0000000;105;0;0;290583;4602820
6;883;A-2; ; ;20061,000000000000000;A-2;2438,8898926;290632,0000000;4602890,0000000;0,0000000;290642,0000000;4602910,0000000;0,0000000;290632;4602893;290642;4602909;166;167;167;290632,0000000;4602890,0000000;168;0;0;290632;4602890;104;105;105;290642,0000000;4602910,0000000;106;0;0;290642;4602910
7;883;A-2; ; ;20061,000000000000000;A-2;2438,8898926;290583,0000000;4602820,0000000;0,0000000;290632,0000000;4602890,0000000;0,0000000;290583;4602825;290632;4602893;103;104;104;290583,0000000;4602820,0000000;105;0;0;290583;4602820;166;167;167;290632,0000000;4602890,0000000;168;0;0;290632;4602890
8;883;A-2; ; ;20061,000000000000000;A-2;2438,8898926;290192,0000000;4602560,0000000;0,0000000;290532,0000000;4602770,0000000;0,0000000;290192;4602561;290532;4602767;102;103;103;290192,0000000;4602560,0000000;104;0;0;290192;4602560;191;192;192;290532,0000000;4602770,0000000;193;0;0;290532;4602770
9;880;C-230a;DipLleida;Tronc;2351,000000000000000; ;1386,0799561;302482,0000000;4606640,0000000;0,0000000;302662,0000000;4607140,0000000;15594,2998047;302482;4606635;302662;4607136;560;566;566;302482,0000000;4606640,0000000;569;0;0;302482;4606640;561;567;567;302662,0000000;4607140,0000000;570;0;0;302662;4607140
